Country latitude	longitude	distance_from_france	is_from_france	alim_ssssgrp_nom_fr	alim_ssgrp_nom_fr	alim_grp_nom_fr	Nb_scans	Nb_unique_scans
Australia	-24.7761086	134.755	15227.638539218171	0	fruits crus	fruits	fruits, légumes, légumineuses et oléagineux	318	206.0
Australia	-24.7761086	134.755	15227.638539218171	0	fruits et leurs produits de la Martinique	fruits	fruits, légumes, légumineuses et oléagineux	67	39.0
Australia	-24.7761086	134.755	15227.638539218171	0	fruits séchés	fruits	fruits, légumes, légumineuses et oléagineux	51	33.0
Australia	-24.7761086	134.755	15227.638539218171	0	jambons secs et crus	charcuteries et assimilés	viandes, œufs, poissons et assimilés	0	0.0
Australia	-24.7761086	134.755	15227.638539218171	0	jus	boissons sans alcool	eaux et autres boissons	6	4.0
Australia	-24.7761086	134.755	15227.638539218171	0	légumes et leurs produits de la Réunion	légumes	fruits, légumes, légumineuses et oléagineux	10	3.0
Australia	-24.7761086	134.755	15227.638539218171	0	légumes séchés ou déshydratés	légumes	fruits, légumes, légumineuses et oléagineux	0	0.0
Australia	-24.7761086	134.755	15227.638539218171	0	légumineuses fraîches	légumineuses	fruits, légumes, légumineuses et oléagineux	1	1.0
Australia	-24.7761086	134.755	15227.638539218171	0	omelettes et autres ovoproduits	œufs	viandes, œufs, poissons et assimilés	0	0.0
Australia	-24.7761086	134.755	15227.638539218171	0	pains	pains et assimilés	produits céréaliers	16	6.0
Australia	-24.7761086	134.755	15227.638539218171	0	plats de fromage	plats composés	entrées et plats composés	7	4.0
Australia	-24.7761086	134.755	15227.638539218171	0	plats de viande et féculents	plats composés	entrées et plats composés	1	1.0
Australia	-24.7761086	134.755	15227.638539218171	0	sauces condimentaires	sauces	aides culinaires et ingrédients divers	1	1.0
Australia	-24.7761086	134.755	15227.638539218171	0	sauces sucrées	sauces	aides culinaires et ingrédients divers	3	3.0
Australia	-24.7761086	134.755	15227.638539218171	0	vins	boisson alcoolisées	eaux et autres boissons	0	0.0
Australia	-24.7761086	134.755	15227.638539218171	0	œufs crus	œufs	viandes, œufs, poissons et assimilés	2	2.0
Austria	47.2	13.2	862.1558593416753	0	Autre biscuits apéritifs	biscuits apéritifs	produits céréaliers	56	32.0
